Unnamed: 0,ID,2015,2016,2017,2018,start_year
5128,57188708248,6,6,6,6,2015
5129,55995449600,3,3,3,3,2015
5139,57170760600,14,14,14,14,2015
5159,56212864100,3,3,3,27,2015
5161,57188804292,2,2,2,2,2015
5164,16068061900,11,11,11,11,2015
5166,26422267000,8,8,8,8,2015
5168,57053368800,4,6,7,7,2015
5198,56901351200,5,5,5,5,2015
5199,36647757300,3,3,3,3,2015
5210,36117729300,3,3,3,3,2015
5239,35229007600,4,4,4,4,2015
5257,56875473000,2,5,7,7,2015
5263,57190000305,2,2,2,6,2015
5274,44861431000,3,3,3,3,2015
5276,56595100500,1,1,1,1,2015
5279,31767480200,2,2,2,2,2015
5286,6602845417,30,30,30,30,2015
5303,7005516582,10,10,10,10,2015
5305,56605900900,6,6,6,6,2015
5307,56694223400,6,6,6,6,2015
5315,56145694300,10,10,10,10,2015
5319,57203811692,4,9,9,11,2015
5341,23033057300,5,5,5,5,2015
5349,57156103200,3,3,3,3,2015
5350,23060291900,2,2,2,2,2015
5352,56668754200,9,9,9,9,2015
5356,16315746700,7,7,7,7,2015
